fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
7.9;0.69;0.21;2.1;0.08;33.0;141.0;0.9962;3.25;0.51;9.9;5
9.4;0.41;0.48;4.6;0.072;10.0;20.0;0.9973;3.34;0.79;12.2;7
15.6;0.645;0.49;4.2;0.095;10.0;23.0;1.00315;2.92;0.74;11.1;5
11.6;0.58;0.66;2.2;0.074;10.0;47.0;1.0008;3.25;0.57;9.0;3
10.2;0.67;0.39;1.9;0.054;6.0;17.0;0.9976;3.17;0.47;10.0;5
7.3;1.07;0.09;1.7;0.178;10.0;89.0;0.9962;3.3;0.57;9.0;5
7.7;0.775;0.42;1.9;0.092;8.0;86.0;0.9959;3.23;0.59;9.5;5
5.6;0.5;0.09;2.3;0.049;17.0;99.0;0.9937;3.63;0.63;13.0;5
7.8;0.41;0.68;1.7;0.467;18.0;69.0;0.9973;3.08;1.31;9.3;5
6.3;0.3;0.48;1.8;0.069;18.0;61.0;0.9959;3.44;0.78;10.3;6
6.6;0.52;0.08;2.4;0.07;13.0;26.0;0.99358;3.4;0.72;12.5;7
6.7;0.56;0.09;2.9;0.079;7.0;22.0;0.99669;3.46;0.61;10.2;5
7.4;0.5;0.47;2.0;0.086;21.0;73.0;0.997;3.36;0.57;9.1;5
8.1;0.78;0.1;3.3;0.09;4.0;13.0;0.99855;3.36;0.49;9.5;5
6.3;0.39;0.16;1.4;0.08;11.0;23.0;0.9955;3.34;0.56;9.3;5
10.3;0.32;0.45;6.4;0.073;5.0;13.0;0.9976;3.23;0.82;12.6;8
7.4;0.53;0.26;2.0;0.101;16.0;72.0;0.9957;3.15;0.57;9.4;5
9.248886057293436;0.8347412935760437;0.2323697366323401;2.8125943454850164;0.1364146584028754;5.548149496526936;13.25925251736532;0.999136888241667;3.3354078388886195;0.553259070486229;9.825188690970034;3
7.7;0.58;0.01;1.8;0.088;12.0;18.0;0.99568;3.32;0.56;10.5;7
9.3;0.33;0.45;1.5;0.057;19.0;37.0;0.99498;3.18;0.89;11.1;7
8.646399203445123;0.4529200929314023;0.4395198937926831;2.0646004646570115;0.0728900033189786;7.37800066379573;16.37800066379573;0.9937619384931836;3.2062199933620428;0.7013400199138718;12.726800398277438;8
8.757556059321654;0.7261031380536473;0.223966368370649;1.817892375615164;0.100495067413877;26.58251123564618;48.52982062602527;0.997647127804948;3.3429125561782307;0.6957556059321655;9.794035874794943;3
6.953865875740855;1.0221675346862864;0.1802783430533416;1.8009278101778052;0.1298701065751072;7.0;21.00618540118537;0.995103401970652;3.3796288759288777;0.4749845364970365;9.90030927005927;4
7.459397666923136;1.3023103921731942;0.0;3.6114750805762856;0.1088795333846272;5.0;12.515058326921594;0.9960535414643072;3.591391516499961;0.4984216331538046;10.759397666923135;3
10.2;0.24;0.49;2.4;0.075;10.0;28.0;0.9978;3.14;0.61;10.4;5
9.471025619229325;0.60182134374715;0.3091224126176934;1.679801493052389;0.1198277909726655;29.80463182877759;48.29966915508732;0.997939420173039;3.359023159143888;0.7671025619229324;9.840066168982537;3
8.4;0.635;0.36;2.0;0.089;15.0;55.0;0.99745;3.31;0.57;10.4;4
7.0;0.49;0.49;5.6;0.06;26.0;121.0;0.9974;3.34;0.76;10.5;5
7.7;0.64;0.21;2.2;0.077;32.0;133.0;0.9956;3.27;0.45;9.9;5
12.5;0.46;0.49;4.5;0.07;26.0;49.0;0.9981;3.05;0.57;9.6;4
8.0;0.59;0.05;2.0;0.089;12.0;32.0;0.99735;3.36;0.61;10.0;5
8.47886721121264;0.933591147414176;0.1677486892220318;1.96056639439368;0.0819578770903927;6.070442629291199;21.1408852585824;0.996181408852586;3.278591147414176;0.456056639439368;9.81408852585824;4
6.2;0.65;0.06;1.6;0.05;6.0;18.0;0.99348;3.57;0.54;11.95;5
10.559070111447584;0.3544040590172629;0.5273575645896422;2.5295350557237923;0.0700880811803452;5.176162360690519;16.0;0.9969727505547092;3.1552848708207155;0.6535232472138104;11.13212177051789;8
6.5;0.67;0.0;4.3;0.057;11.0;20.0;0.99488;3.45;0.56;11.8;4
10.8;0.32;0.44;1.6;0.063;16.0;37.0;0.9985;3.22;0.78;10.0;6
6.8;0.68;0.09;3.9;0.068;15.0;29.0;0.99524;3.41;0.52;11.1;4
9.9;0.49;0.58;3.5;0.094;9.0;43.0;1.0004;3.29;0.58;9.0;5
9.0;0.785;0.24;1.7;0.078;10.0;21.0;0.99692;3.29;0.67;10.0;5
7.276358031367507;1.0572366324130908;0.0206069947720821;4.847602848390382;0.0908179015683753;4.175720209116714;14.0;0.9972099670452536;3.535207824048422;0.5317572020911672;10.493930052279175;3
6.4;0.64;0.21;1.8;0.081;14.0;31.0;0.99689;3.59;0.66;9.8;5
6.9;0.4;0.14;2.4;0.085;21.0;40.0;0.9968;3.43;0.63;9.7;6
6.4;0.57;0.14;3.9;0.07;27.0;73.0;0.99669;3.32;0.48;9.2;5
8.933154409239211;0.4066738236304315;0.4632939700326267;1.8;0.0699989264554352;6.666308818478425;14.6652352739137;0.9948001932380216;3.2567167654130205;0.69;12.23304705478274;8
7.8;0.87;0.26;3.8;0.107;31.0;67.0;0.99668;3.26;0.46;9.2;5
13.3;0.43;0.58;1.9;0.07;15.0;40.0;1.0004;3.06;0.49;9.0;5
11.6;0.41;0.58;2.8;0.096;25.0;101.0;1.00024;3.13;0.53;10.0;5
7.1;0.875;0.05;5.7;0.082;3.0;14.0;0.99808;3.4;0.52;10.2;3
11.6;0.32;0.55;2.8;0.081;35.0;67.0;1.0002;3.32;0.92;10.8;7
7.805511628658013;0.5979291858324663;0.1708188374571443;3.6609441889004497;0.0555559069707359;4.388976742683974;9.305511628658014;0.9961183623250855;3.3494488371341986;0.5530551162865802;11.236062791523814;4
7.6;0.41;0.33;2.5;0.078;6.0;23.0;0.9957;3.3;0.58;11.2;5
8.2;1.0;0.09;2.3;0.065;7.0;37.0;0.99685;3.32;0.55;9.0;6
9.5;0.55;0.66;2.3;0.387;12.0;37.0;0.9982;3.17;0.67;9.6;5
10.8;0.45;0.33;2.5;0.099;20.0;38.0;0.99818;3.24;0.71;10.8;5
7.9;0.35;0.46;3.6;0.078;15.0;37.0;0.9973;3.35;0.86;12.8;8
7.2;0.34;0.24;2.0;0.071;30.0;52.0;0.99576;3.44;0.58;10.1;5
6.9;0.58;0.01;1.9;0.08;40.0;54.0;0.99683;3.4;0.73;9.7;5
7.0;0.6;0.3;4.5;0.068;20.0;110.0;0.99914;3.3;1.17;10.2;5
10.7;0.35;0.53;2.6;0.07;5.0;16.0;0.9972;3.15;0.65;11.0;8
7.9;0.72;0.17;2.6;0.096;20.0;38.0;0.9978;3.4;0.53;9.5;5
7.9;0.18;0.4;1.8;0.062;7.0;20.0;0.9941;3.28;0.7;11.1;5
6.2;0.56;0.09;1.7;0.053;24.0;32.0;0.99402;3.54;0.6;11.3;5
7.4;0.635;0.1;2.4;0.08;16.0;33.0;0.99736;3.58;0.69;10.8;7
11.5;0.42;0.48;2.6;0.077;8.0;20.0;0.99852;3.09;0.53;11.0;5
7.635019208769735;1.5519846329842122;0.0010005488219924;2.165035673429508;0.13434854562172;5.050027441099621;9.100054882199242;0.9949681141549744;3.498999451178008;0.4045024696989659;10.905002744109964;3
8.3;0.715;0.15;1.8;0.089;10.0;52.0;0.9968;3.23;0.77;9.5;5
10.953332803029287;0.6116597481850243;0.5710832604165272;2.0652776672977686;0.1000014102115306;10.808333996213388;44.57499801135984;0.9999795409938432;3.2594305632891563;0.5619166600378661;9.107777866161785;3
7.1;0.62;0.06;1.3;0.07;5.0;12.0;0.9942;3.17;0.48;9.8;5
7.2;0.38;0.31;2.0;0.056;15.0;29.0;0.99472;3.23;0.76;11.3;8
6.7;0.48;0.08;2.1;0.064;18.0;34.0;0.99552;3.33;0.64;9.7;5
9.3;0.61;0.26;3.4;0.09;25.0;87.0;0.99975;3.24;0.62;9.7;5
10.0;0.69;0.11;1.4;0.084;8.0;24.0;0.99578;2.88;0.47;9.7;5
12.2;0.34;0.5;2.4;0.066;10.0;21.0;1.0;3.12;1.18;9.2;6
7.025416914552999;1.056490966592733;0.0127685130099333;1.908472304851;0.0993328866206966;5.638425650496667;10.915276951490002;0.995551647806616;3.5319212825248334;0.5468378996142335;10.293495632028163;3
7.9;0.53;0.24;2.0;0.072;15.0;105.0;0.996;3.27;0.54;9.4;6
7.466027261010461;0.6106216756177988;0.1129188829214675;2.0306216756177986;0.0850478390977486;10.74162234157065;24.30621675617799;0.9966990408915156;3.381291888292147;0.4430621675617798;9.289473071965965;4
9.9;0.74;0.28;2.6;0.078;21.0;77.0;0.998;3.28;0.51;9.8;5
7.1;0.43;0.17;1.8;0.082;27.0;51.0;0.99634;3.49;0.64;10.4;5
7.9;0.6;0.06;1.6;0.069;15.0;59.0;0.9964;3.3;0.46;9.4;5
7.6;0.52;0.12;3.0;0.067;12.0;53.0;0.9971;3.36;0.57;9.1;5
9.2;0.41;0.5;2.5;0.055;12.0;25.0;0.9952;3.34;0.79;13.3;7
9.7;0.55;0.17;2.9;0.087;20.0;53.0;1.0004;3.14;0.61;9.4;5
7.790837566146369;0.5651897222268436;0.0948102777731563;2.288546957682961;0.0652061547617067;33.61059656122068;44.51897222268437;0.9941704581216928;3.454960661380503;0.7390837566146369;12.6702220899757;8
7.807196039614493;1.110347392737343;0.009048800880322;3.865425962586313;0.0911182794277906;5.452440044016103;12.64267986795169;0.9976496609021174;3.5621339933975844;0.5173779977991949;10.835732013204831;3
8.4;0.67;0.19;2.2;0.093;11.0;75.0;0.99736;3.2;0.59;9.2;4
7.2;0.66;0.03;2.3;0.078;16.0;86.0;0.99743;3.53;0.57;9.7;5
10.3;0.53;0.48;2.5;0.063;6.0;25.0;0.9998;3.12;0.59;9.3;6
15.9;0.36;0.65;7.5;0.096;22.0;71.0;0.9976;2.98;0.84;14.9;5
7.3;0.55;0.01;1.8;0.093;9.0;15.0;0.99514;3.35;0.58;11.0;7
10.3;0.32;0.45;6.4;0.073;5.0;13.0;0.9976;3.23;0.82;12.6;8
6.568981353460464;0.597722948162913;0.1707261195101101;2.151815298775276;0.0742079665223574;9.55445896325826;70.18152987752754;0.9954518858315008;3.5372929085730727;0.5755445896325826;11.07920334776426;4
7.1;0.47;0.0;2.2;0.067;7.0;14.0;0.99517;3.4;0.58;10.9;4
7.380563386553236;0.4371784057418579;0.2437934249304802;2.090281693276618;0.0587084507982985;20.7178405741858;33.815023641419614;0.9945544835623262;3.299215964845407;0.7539812204482255;11.721314568624218;8
5.0;0.42;0.24;2.0;0.06;19.0;50.0;0.9917;3.72;0.74;14.0;8
6.6;0.5;0.04;2.1;0.068;6.0;14.0;0.9955;3.39;0.64;9.4;6
7.5;0.5;0.36;6.1;0.071;17.0;102.0;0.9978;3.35;0.8;10.5;5
8.8;0.52;0.34;2.7;0.087;24.0;122.0;0.9982;3.26;0.61;9.5;5
8.9;0.635;0.37;1.7;0.263;5.0;62.0;0.9971;3.0;1.09;9.3;5
5.6;0.85;0.05;1.4;0.045;12.0;88.0;0.9924;3.56;0.82;12.9;8
5.0;0.42;0.24;2.0;0.06;19.0;50.0;0.9917;3.72;0.74;14.0;8
9.0;0.62;0.04;1.9;0.146;27.0;90.0;0.9984;3.16;0.7;9.4;5
7.3;0.59;0.26;7.2;0.07;35.0;121.0;0.9981;3.37;0.49;9.4;5
9.198905279376612;0.6053069967132163;0.3445835312244448;2.6357448849625715;0.0837762970418947;16.29604950698245;46.23465016433919;0.9979519752465088;3.269386006573567;0.5217325082169592;9.370395049301756;4
7.9;0.37;0.23;1.8;0.077;23.0;49.0;0.9963;3.28;0.67;9.3;5
7.1;0.43;0.42;5.5;0.07;29.0;129.0;0.9973;3.42;0.72;10.5;5
6.7;0.64;0.23;2.1;0.08;11.0;119.0;0.99538;3.36;0.7;10.9;5
7.5;0.65;0.18;7.0;0.088;27.0;94.0;0.99915;3.38;0.77;9.4;5
8.3;1.02;0.02;3.4;0.084;6.0;11.0;0.99892;3.48;0.49;11.0;3
6.2;0.6;0.08;2.0;0.09;32.0;44.0;0.9949;3.45;0.58;10.5;5
9.5;0.56;0.33;2.4;0.089;35.0;67.0;0.9972;3.28;0.73;11.8;7
8.3;0.54;0.24;3.4;0.076;16.0;112.0;0.9976;3.27;0.61;9.4;5
11.8;0.26;0.52;1.8;0.071;6.0;10.0;0.9968;3.2;0.72;10.2;7
7.5;0.77;0.2;8.1;0.098;30.0;92.0;0.99892;3.2;0.58;9.2;5
6.7;0.7;0.08;3.75;0.067;8.0;16.0;0.99334;3.43;0.52;12.6;5
7.9;0.35;0.46;3.6;0.078;15.0;37.0;0.9973;3.35;0.86;12.8;8
7.2;0.56;0.26;2.0;0.083;13.0;100.0;0.99586;3.26;0.52;9.9;5
7.668497360682217;0.5283574975493686;0.1382176344165205;2.2342486803411084;0.0630274604102332;29.83574975493686;41.49326295152578;0.9942905440860412;3.409590654928183;0.7443834213105928;12.393160508258504;8
6.9;0.67;0.06;2.1;0.08;8.0;33.0;0.99845;3.68;0.71;9.6;5
12.28061479860477;0.3146226805465099;0.699828303069775;2.191595126279073;0.0714957075767443;6.546316791860262;29.882511740697343;0.9984058294197676;2.9153004696278937;0.8166380505116291;9.97650234813947;8
9.320268305685724;0.3265772314380921;0.5440536611371448;2.534227685619079;0.0776080491705717;6.265772314380921;16.73422768561908;0.995926925280402;3.165946338862855;0.8588723676923882;11.912617851504736;8
7.7;0.28;0.3;2.0;0.062;18.0;34.0;0.9952;3.28;0.9;11.3;7
5.9;0.19;0.21;1.7;0.045;57.0;135.0;0.99341;3.32;0.44;9.5;5
7.3;0.58;0.3;2.4;0.074;15.0;55.0;0.9968;3.46;0.59;10.2;5
10.4;0.44;0.42;1.5;0.145;34.0;48.0;0.99832;3.38;0.86;9.9;3
6.7;0.76;0.02;1.8;0.078;6.0;12.0;0.996;3.55;0.63;9.95;3
7.29084519398022;0.370915480601978;0.305457740300989;1.90915480601978;0.0641760674582198;15.9084519398022;26.7288701504945;0.9944792602359523;3.234542259699011;0.732746441805934;11.34542259699011;8
7.3;0.835;0.03;2.1;0.092;10.0;19.0;0.9966;3.39;0.47;9.6;5
8.8;0.955;0.05;1.8;0.075;5.0;19.0;0.99616;3.3;0.44;9.6;4
8.3;0.26;0.42;2.0;0.08;11.0;27.0;0.9974;3.21;0.8;9.4;6
6.826287621378317;0.7877792476510999;0.0821137135865048;3.426822815190293;0.0661598665035178;14.211371358650489;29.525752427566346;0.9951243344659354;3.436287621378317;0.4963411407595147;11.17886286413495;4
8.9;0.38;0.4;2.2;0.068;12.0;28.0;0.99486;3.27;0.75;12.6;7
8.6;0.55;0.09;3.3;0.068;8.0;17.0;0.99735;3.23;0.44;10.0;5
7.3;0.45;0.36;5.9;0.074;12.0;87.0;0.9978;3.33;0.83;10.5;5
7.4;1.185;0.0;4.25;0.097;5.0;14.0;0.9966;3.63;0.54;10.7;3
7.2;0.725;0.05;4.65;0.086;4.0;11.0;0.9962;3.41;0.39;10.9;5
10.66128297756777;0.3470962233175829;0.5222565955135544;2.9678117131061668;0.0702903776682417;5.0;15.70962233175829;0.9972387170224322;3.1577434044864456;0.666454734533697;11.154868089728913;8
7.9;0.52;0.26;1.9;0.079;42.0;140.0;0.9964;3.23;0.54;9.5;5
15.5;0.645;0.49;4.2;0.095;10.0;23.0;1.00315;2.92;0.74;11.1;5
8.6;0.49;0.51;2.0;0.422;16.0;62.0;0.9979;3.03;1.17;9.0;5
12.3;0.5;0.49;2.2;0.089;5.0;14.0;1.0002;3.19;0.44;9.6;5
7.0;0.45;0.34;2.7;0.082;16.0;72.0;0.998;3.55;0.6;9.5;5
7.942679348005118;0.6303349185006397;0.1778162500411771;1.921339674002559;0.0797121521760614;13.143923911969292;42.64267934800512;0.9968853586960102;3.331439239119693;0.5121339674002559;9.128535869601023;4
7.2;0.635;0.07;2.6;0.077;16.0;86.0;0.99748;3.51;0.54;9.7;5
7.5852759473202305;0.9336375103011944;0.0378681013169942;4.7698877676362255;0.0828087932455337;4.213189868300576;12.786810131699424;0.9984196931631242;3.432351729821349;0.5078681013169942;10.523517298213486;3
10.6;1.025;0.43;2.8;0.08;21.0;84.0;0.9985;3.06;0.57;10.1;5
7.0;0.62;0.08;1.8;0.076;8.0;24.0;0.9978;3.48;0.53;9.0;5
7.2;0.33;0.33;1.7;0.061;3.0;13.0;0.996;3.23;1.1;10.0;8
12.5;0.38;0.6;2.6;0.081;31.0;72.0;0.9996;3.1;0.73;10.5;5
8.6;0.37;0.65;6.4;0.08;3.0;8.0;0.99817;3.27;0.58;11.0;5
4.6;0.52;0.15;2.1;0.054;8.0;65.0;0.9934;3.9;0.56;13.1;4
7.8;0.56;0.19;1.8;0.104;12.0;47.0;0.9964;3.19;0.93;9.5;5
9.967524485482809;0.3218278648262618;0.5469032811042429;2.7126885406949524;0.0756344270347476;5.563442703474762;16.563442703474763;0.99674924583722;3.15;0.8021295299381859;11.394409892432334;8
8.2;0.885;0.2;1.4;0.086;7.0;31.0;0.9946;3.11;0.46;10.0;5
7.2;0.695;0.13;2.0;0.076;12.0;20.0;0.99546;3.29;0.54;10.1;5
7.1;0.84;0.02;4.4;0.096;5.0;13.0;0.997;3.41;0.57;11.0;4
8.4;0.715;0.2;2.4;0.076;10.0;38.0;0.99735;3.31;0.64;9.4;5
7.8;0.56;0.19;1.8;0.104;12.0;47.0;0.9964;3.19;0.93;9.5;5
9.8;0.45;0.38;2.5;0.081;34.0;66.0;0.99726;3.15;0.58;9.8;5
10.0;0.58;0.22;1.9;0.08;9.0;32.0;0.9974;3.13;0.55;9.5;5
7.2;0.49;0.24;2.2;0.07;5.0;36.0;0.996;3.33;0.48;9.4;5
8.7;0.46;0.31;2.5;0.126;24.0;64.0;0.99746;3.1;0.74;9.6;5
11.452090394773798;0.5627438793902765;0.6304180789547598;2.1137193969513826;0.0827513183092168;12.958192104524024;47.123258004355165;1.0004943201491991;3.266023540566172;0.6057448212629986;9.110932203919653;3
11.6;0.41;0.54;1.5;0.095;22.0;41.0;0.99735;3.02;0.76;9.9;7
7.6;0.49;0.33;1.9;0.074;27.0;85.0;0.99706;3.41;0.58;9.0;5
7.6;0.39;0.31;2.3;0.082;23.0;71.0;0.9982;3.52;0.65;9.7;5
11.5;0.18;0.51;4.0;0.104;4.0;23.0;0.9996;3.28;0.97;10.1;6
8.624649784976036;0.4554575250861292;0.4366199713301381;2.0772876254306456;0.0729806258959331;7.396125179186637;16.396125179186637;0.9937207958432462;3.2060387482081336;0.7018837553755991;12.737675107511985;8
10.302468770732691;0.3028202149085396;0.6051234385366345;2.63078710548762;0.0777438280731682;6.0;20.38425789024759;0.997048649428964;3.073854197469429;0.8917978509146034;11.164159167377464;8
7.1;0.35;0.29;2.5;0.096;20.0;53.0;0.9962;3.42;0.65;11.0;6
6.8;0.63;0.07;2.1;0.089;11.0;44.0;0.9953;3.47;0.55;10.4;6
