fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
8.4;0.665;0.61;2.0;0.112;13.0;95.0;0.997;3.16;0.54;9.1;5
12.326051800555575;0.3123314740378249;0.7048454187541382;2.2816015913238714;0.0723497211056737;6.5245816585106;29.46629480756497;0.9986183984086762;2.907394819944442;0.8223314740378248;9.974860552836867;8
9.5;0.59;0.44;2.3;0.071;21.0;68.0;0.9992;3.46;0.63;9.5;5
7.1;0.43;0.42;5.5;0.071;28.0;128.0;0.9973;3.42;0.71;10.5;5
6.8;0.67;0.02;1.8;0.05;5.0;11.0;0.9962;3.48;0.52;9.5;5
7.5;0.6;0.03;1.8;0.095;25.0;99.0;0.995;3.35;0.54;10.1;5
9.9;0.5;0.5;13.8;0.205;48.0;82.0;1.00242;3.16;0.75;8.8;5
7.5;0.61;0.26;1.9;0.073;24.0;88.0;0.99612;3.3;0.53;9.8;5
11.9;0.58;0.66;2.5;0.072;6.0;37.0;0.9992;3.05;0.56;10.0;5
8.0;0.64;0.22;2.4;0.094;5.0;33.0;0.99612;3.37;0.58;11.0;5
7.7;1.005;0.15;2.1;0.102;11.0;32.0;0.99604;3.23;0.48;10.0;5
9.2;0.63;0.21;2.7;0.097;29.0;65.0;0.9988;3.28;0.58;9.6;5
6.0;0.33;0.32;12.9;0.054;6.0;113.0;0.99572;3.3;0.56;11.5;4
7.8;0.55;0.35;2.2;0.074;21.0;66.0;0.9974;3.25;0.56;9.2;5
7.9;0.72;0.01;1.9;0.076;7.0;32.0;0.99668;3.39;0.54;9.6;5
8.299093764460611;0.7540634364877572;0.1679305219419801;5.270166143182221;0.076301359353309;23.899546882230304;47.59969792148687;0.9964336405265694;3.42108005080598;0.5209894272520404;10.720241662810505;4
7.7;0.58;0.1;1.8;0.102;28.0;109.0;0.99565;3.08;0.49;9.8;6
6.9;0.54;0.04;3.0;0.077;7.0;27.0;0.9987;3.69;0.91;9.4;6
8.3;0.28;0.48;2.1;0.093;6.0;12.0;0.99408;3.26;0.62;12.4;7
9.51170672512978;0.3188137642323839;0.566467231454882;2.941103231742879;0.0803527580793572;6.0;17.1175860264524;0.9965411032317428;3.154115510925834;0.906477606957974;11.79994812248454;8
9.0;0.6;0.29;2.0;0.069;32.0;73.0;0.99654;3.34;0.57;10.0;5
8.384939819656054;0.507093369380482;0.372906630619518;2.5173192792734307;0.0749608432435941;7.480421621797084;16.826807207265695;0.9931899850447612;3.191340360363285;0.7078765045085986;12.736295135257958;8
7.9;0.69;0.21;2.1;0.08;33.0;141.0;0.9962;3.25;0.51;9.9;5
10.174473675166254;0.3675175441611248;0.4949649116777504;2.3997994953014308;0.0694994987382535;5.250250630873212;14.998997476507151;0.9966894887130188;3.2000501261746424;0.6600100252349285;11.175175441611248;8
7.6;0.62;0.32;2.2;0.082;7.0;54.0;0.9966;3.36;0.52;9.4;5
11.4;0.26;0.44;3.6;0.071;6.0;19.0;0.9986;3.12;0.82;9.3;6
8.6;0.47;0.27;2.3;0.055;14.0;28.0;0.99516;3.18;0.8;11.2;5
7.2;0.695;0.13;2.0;0.076;12.0;20.0;0.99546;3.29;0.54;10.1;5
10.5;0.24;0.47;2.1;0.066;6.0;24.0;0.9978;3.15;0.9;11.0;7
9.6;0.56;0.31;2.8;0.089;15.0;46.0;0.9979;3.11;0.92;10.0;6
11.3;0.62;0.67;5.2;0.086;6.0;19.0;0.9988;3.22;0.69;13.4;8
