fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
8.26850393779776;1.0451968497617925;0.0191001125085074;3.341507313052982;0.0863847018524553;5.955005625425371;10.910011250850742;0.9987328234017696;3.4808998874914927;0.4859505062882834;10.995500562542537;3
10.4;0.61;0.49;2.1;0.2;5.0;16.0;0.9994;3.16;0.63;8.4;3
11.35365009325634;0.5512591775465732;0.6107300186512683;2.056295887732866;0.0885757028156664;14.926998134873177;47.20529158895305;1.0002908768593963;3.2766879065638963;0.6295345607963841;9.184762430057743;3
10.4;0.61;0.49;2.1;0.2;5.0;16.0;0.9994;3.16;0.63;8.4;3
7.398021235937827;0.881302580723643;0.0;2.1155811827302977;0.0864674354819089;14.688376345394047;25.155811827302976;0.9963522172838246;3.4628606989966726;0.4979884677713661;10.27535053815762;4
6.592736174867353;1.0532246889614076;0.1542770045904494;1.7142566819681648;0.1420040645244569;7.0;20.428377879787767;0.9947856078338831;3.414297327212734;0.4764290553005306;9.87141889398939;4
8.3;0.675;0.26;2.1;0.084;11.0;43.0;0.9976;3.31;0.53;9.2;4
6.403991716402207;1.06945671238941;0.1406874035809589;1.6689580119365297;0.1483458783288858;7.0;20.126386746243533;0.994619512710434;3.432416795225388;0.4771840331343912;9.856319337312176;4
8.8;0.61;0.3;2.8;0.088;17.0;46.0;0.9976;3.26;0.51;9.3;4
8.685275569164293;0.5325081049754203;0.3050162099508408;1.7249729834152654;0.0781494056351358;7.949837900491593;24.05016209950841;0.9965711113083292;3.27798270938577;0.4895091856388097;9.522572944778783;4
7.9;0.885;0.03;1.8;0.058;4.0;8.0;0.9972;3.36;0.33;9.1;4
6.5;0.58;0.0;2.2;0.096;3.0;13.0;0.99557;3.62;0.62;11.5;4
7.415547843011857;0.6779623202509881;0.0634314989009222;2.415547843011857;0.059032193029855;4.906164270013174;8.906164270013175;0.996098547677231;3.3753082135006585;0.5331095686023714;10.853082135006588;4
7.5;1.115;0.1;3.1;0.086;5.0;12.0;0.9958;3.54;0.6;11.2;4
8.2;0.56;0.23;3.4;0.078;14.0;104.0;0.9976;3.28;0.62;9.4;5
8.3;0.65;0.1;2.9;0.089;17.0;40.0;0.99803;3.29;0.55;9.5;5
7.6;0.645;0.03;1.9;0.086;14.0;57.0;0.9969;3.37;0.46;10.3;5
7.0;0.51;0.09;2.1;0.062;4.0;9.0;0.99584;3.35;0.54;10.5;5
8.2;0.7;0.23;2.0;0.099;14.0;81.0;0.9973;3.19;0.7;9.4;5
5.3;0.715;0.19;1.5;0.161;7.0;62.0;0.99395;3.62;0.61;11.0;5
6.2;0.46;0.17;1.6;0.073;7.0;11.0;0.99425;3.61;0.54;11.4;5
8.8;0.41;0.64;2.2;0.093;9.0;42.0;0.9986;3.54;0.66;10.5;5
8.7;0.82;0.02;1.2;0.07;36.0;48.0;0.9952;3.2;0.58;9.8;5
6.4;0.4;0.23;1.6;0.066;5.0;12.0;0.9958;3.34;0.56;9.2;5
5.6;0.54;0.04;1.7;0.049;5.0;13.0;0.9942;3.72;0.58;11.4;5
8.6;0.52;0.38;1.5;0.096;5.0;18.0;0.99666;3.2;0.52;9.4;5
7.2;0.62;0.06;2.5;0.078;17.0;84.0;0.99746;3.51;0.53;9.7;5
7.5;0.58;0.2;2.0;0.073;34.0;44.0;0.99494;3.1;0.43;9.3;5
6.9;0.52;0.25;2.6;0.081;10.0;37.0;0.99685;3.46;0.5;11.0;5
9.3;0.43;0.44;1.9;0.085;9.0;22.0;0.99708;3.28;0.55;9.5;5
6.7;0.64;0.23;2.1;0.08;11.0;119.0;0.99538;3.36;0.7;10.9;5
9.9;0.54;0.45;2.3;0.071;16.0;40.0;0.9991;3.39;0.62;9.4;5
7.1;0.34;0.28;2.0;0.082;31.0;68.0;0.99694;3.45;0.48;9.4;5
6.2;0.63;0.31;1.7;0.088;15.0;64.0;0.9969;3.46;0.79;9.3;5
9.8;0.98;0.32;2.3;0.078;35.0;152.0;0.998;3.25;0.48;9.4;5
8.7;0.29;0.52;1.6;0.113;12.0;37.0;0.9969;3.25;0.58;9.5;5
9.1;0.34;0.42;1.8;0.058;9.0;18.0;0.99392;3.18;0.55;11.4;5
6.9;0.765;0.02;2.3;0.063;35.0;63.0;0.9975;3.57;0.78;9.9;5
8.1;0.575;0.22;2.1;0.077;12.0;65.0;0.9967;3.29;0.51;9.2;5
7.2;0.695;0.13;2.0;0.076;12.0;20.0;0.99546;3.29;0.54;10.1;5
6.7;0.675;0.07;2.4;0.089;17.0;82.0;0.9958;3.35;0.54;10.1;5
7.5;0.41;0.15;3.7;0.104;29.0;94.0;0.99786;3.14;0.58;9.1;5
8.5;0.655;0.49;6.1;0.122;34.0;151.0;1.001;3.31;1.14;9.3;5
9.9;0.35;0.41;2.3;0.083;11.0;61.0;0.9982;3.21;0.5;9.5;5
10.6;0.28;0.39;15.5;0.069;6.0;23.0;1.0026;3.12;0.66;9.2;5
7.0;0.6;0.3;4.5;0.068;20.0;110.0;0.99914;3.3;1.17;10.2;5
10.8;0.5;0.46;2.5;0.073;5.0;27.0;1.0001;3.05;0.64;9.5;5
6.1;0.6;0.08;1.8;0.071;14.0;45.0;0.99336;3.38;0.54;11.0;5
7.4;0.41;0.24;1.8;0.066;18.0;47.0;0.9956;3.37;0.62;10.4;5
7.0;0.78;0.08;2.0;0.093;10.0;19.0;0.9956;3.4;0.47;10.0;5
11.5;0.18;0.51;4.0;0.104;4.0;23.0;0.9996;3.28;0.97;10.1;6
9.4;0.4;0.31;2.2;0.09;13.0;62.0;0.9966;3.07;0.63;10.5;6
10.6;0.42;0.48;2.7;0.065;5.0;18.0;0.9972;3.21;0.87;11.3;6
6.9;0.605;0.12;10.7;0.073;40.0;83.0;0.9993;3.45;0.52;9.4;6
6.6;0.52;0.04;2.2;0.069;8.0;15.0;0.9956;3.4;0.63;9.4;6
11.5;0.45;0.5;3.0;0.078;19.0;47.0;1.0003;3.26;1.11;11.0;6
8.8;0.55;0.04;2.2;0.119;14.0;56.0;0.9962;3.21;0.6;10.9;6
7.5;0.53;0.06;2.6;0.086;20.0;44.0;0.9965;3.38;0.59;10.7;6
8.3;0.42;0.38;2.5;0.094;24.0;60.0;0.9979;3.31;0.7;10.8;6
10.1;0.43;0.4;2.6;0.092;13.0;52.0;0.99834;3.22;0.64;10.0;7
6.8;0.59;0.06;6.0;0.06;11.0;18.0;0.9962;3.41;0.59;10.8;7
