fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
12.9;0.35;0.49;5.8;0.066;5.0;35.0;1.0014;3.2;0.66;12.0;7
7.080697138182488;0.8694504272274656;0.0485522853636866;5.511797097279268;0.0818069713818249;3.1447714636313324;13.903485690912444;0.9979796251185488;3.407238573181566;0.5253082869998156;10.187935711364055;3
11.1;0.39;0.54;2.7;0.095;21.0;101.0;1.0001;3.13;0.51;9.5;5
10.3;0.53;0.48;2.5;0.063;6.0;25.0;0.9998;3.12;0.59;9.3;6
11.2;0.4;0.5;2.0;0.099;19.0;50.0;0.99783;3.1;0.58;10.4;5
7.9;0.43;0.21;1.6;0.106;10.0;37.0;0.9966;3.17;0.91;9.5;5
10.4;0.33;0.63;2.8;0.084;5.0;22.0;0.9998;3.26;0.74;11.2;7
7.3;0.39;0.31;2.4;0.074;9.0;46.0;0.9962;3.41;0.54;9.4;6
7.4;0.74;0.07;1.7;0.086;15.0;48.0;0.99502;3.12;0.48;10.0;5
7.7;0.66;0.04;1.6;0.039;4.0;9.0;0.9962;3.4;0.47;9.4;5
7.436915244404794;0.3793805033125168;0.2806194966874832;1.8461440555059925;0.0731694070008921;18.568897887203743;25.93805033125168;0.9941881542377796;3.260303384422637;0.7036915244404793;11.51997454431558;8
9.2;0.53;0.24;2.6;0.078;28.0;139.0;0.99788;3.21;0.57;9.5;5
7.2;0.58;0.03;2.3;0.077;7.0;28.0;0.99568;3.35;0.52;10.0;5
8.9;0.31;0.36;2.6;0.056;10.0;39.0;0.99562;3.4;0.69;11.8;5
6.7;0.76;0.02;1.8;0.078;6.0;12.0;0.996;3.55;0.63;9.95;3
12.0;0.37;0.76;4.2;0.066;7.0;38.0;1.0004;3.22;0.6;13.0;7
15.6;0.685;0.76;3.7;0.1;6.0;43.0;1.0032;2.95;0.68;11.2;7
8.069078531216348;1.2047371750269218;0.0134022437490385;2.971145843687503;0.1014840540650479;5.670112187451926;10.340224374903851;0.9975476666998;3.4865977562509616;0.4603100968706733;10.967011218745192;3
6.8;0.91;0.06;2.0;0.06;4.0;11.0;0.99592;3.53;0.64;10.9;4
7.462266351481138;0.7825765432087359;0.0910616233286565;1.3379721565585705;0.2403713737841958;15.172167060648576;31.48349881805427;0.9955502504334416;3.3103419490409;0.5182783293935143;9.689622274753145;3
8.8;0.44;0.49;2.8;0.083;18.0;111.0;0.9982;3.3;0.6;9.5;5
5.0;1.02;0.04;1.4;0.045;41.0;85.0;0.9938;3.75;0.48;10.5;4
6.3;0.57;0.28;2.1;0.048;13.0;49.0;0.99374;3.41;0.6;12.8;5
7.8;0.6;0.26;2.0;0.08;31.0;131.0;0.99622;3.21;0.52;9.9;5
6.721397536840303;0.7729913616530406;0.0193886418045627;1.8748913789410573;0.0785807902856653;5.96943209022814;12.06113581954372;0.9960183407458632;3.5524454327817487;0.6272488881205326;9.972925932328897;3
6.1;0.715;0.1;2.6;0.053;13.0;27.0;0.99362;3.57;0.5;11.9;5
10.9;0.39;0.47;1.8;0.118;6.0;14.0;0.9982;3.3;0.75;9.8;6
8.192185405524889;1.0024801283977942;0.02;3.292185405524888;0.0835956952707183;6.0;11.067384121546946;0.9987232383650828;3.484716888508286;0.4994337770165723;10.929246672375708;3
10.0;0.32;0.59;2.2;0.077;3.0;15.0;0.9994;3.2;0.78;9.6;5
6.9;0.54;0.04;3.0;0.077;7.0;27.0;0.9987;3.69;0.91;9.4;6
7.680704980645819;1.133537420214933;0.0062378884587959;3.984889740501171;0.0929453725017826;5.311894422939799;13.064316731180604;0.9973235950612204;3.58321583655903;0.52440527885301;10.79356832688194;3
8.2;0.73;0.21;1.7;0.074;5.0;13.0;0.9968;3.2;0.52;9.5;5
10.227429044037898;0.5958408061991879;0.4731265598690127;2.0870204306684714;0.0724661181729904;14.129795693315286;48.03836554652229;0.9988858371060296;3.3012979569331526;0.5612979569331529;9.703836554652227;4
10.5;0.59;0.49;2.1;0.07;14.0;47.0;0.9991;3.3;0.56;9.6;4
7.8;0.58;0.02;2.0;0.073;9.0;18.0;0.9968;3.36;0.57;9.5;7
9.6;0.77;0.12;2.9;0.082;30.0;74.0;0.99865;3.3;0.64;10.4;6
10.3;0.41;0.42;2.4;0.213;6.0;14.0;0.9994;3.19;0.62;9.5;6
6.907717342268773;0.5946141328865613;0.2769456080418962;1.856431118557312;0.092078800670158;3.487137762885377;8.512862237114623;0.9956165450258804;3.33;0.4725724474229245;10.348713776288538;4
9.6;0.56;0.23;3.4;0.102;37.0;92.0;0.9996;3.3;0.65;10.1;5
7.0;0.56;0.17;1.7;0.065;15.0;24.0;0.99514;3.44;0.68;10.55;7
7.6;0.55;0.21;2.2;0.071;7.0;28.0;0.9964;3.28;0.55;9.7;5
8.1;0.67;0.55;1.8;0.117;32.0;141.0;0.9968;3.17;0.62;9.4;5
7.8;0.53;0.01;1.6;0.077;3.0;19.0;0.995;3.16;0.46;9.8;5
7.7;0.705;0.1;2.6;0.084;9.0;26.0;0.9976;3.39;0.49;9.7;5
8.0;0.43;0.36;2.3;0.075;10.0;48.0;0.9976;3.34;0.46;9.4;5
7.449969044957002;0.8468964251776953;0.0966625393276003;5.318215587319634;0.0945140446378564;3.212102451489092;14.212102451489091;0.9982199876179828;3.3745477058213087;0.5316656348319001;10.009107793659815;3
8.0;0.42;0.17;2.0;0.073;6.0;18.0;0.9972;3.29;0.61;9.2;6
7.2;0.36;0.46;2.1;0.074;24.0;44.0;0.99534;3.4;0.85;11.0;7
6.835571516790261;0.8267386005407862;0.0035571516790261;1.2640287302224704;0.2523445350824123;16.28457213432209;30.42286067161045;0.9948764746985784;3.3192885696641947;0.5128457213432209;9.792885696641948;3
7.5;0.59;0.22;1.8;0.082;43.0;60.0;0.99499;3.1;0.42;9.2;5
12.3;0.39;0.63;2.3;0.091;6.0;18.0;1.0004;3.16;0.49;9.5;5
12.0;0.63;0.5;1.4;0.071;6.0;26.0;0.99791;3.07;0.6;10.4;4
6.7;0.32;0.44;2.4;0.061;24.0;34.0;0.99484;3.29;0.8;11.6;7
6.931516973942502;0.6376264144952085;0.0257846535288612;1.9315169739425024;0.064948125874036;4.368352193269447;8.368352193269446;0.9948293111761158;3.348417609663472;0.4363033947885004;10.584176096634724;4
8.2;0.78;0.0;2.2;0.089;13.0;26.0;0.9978;3.37;0.46;9.6;4
7.1;0.875;0.05;5.7;0.082;3.0;14.0;0.99808;3.4;0.52;10.2;3
7.996632739353736;1.0756173311184818;0.0132585053189719;3.686513523943694;0.0883819715426682;5.662925265948595;12.011224202154214;0.9981379866170008;3.530561210107711;0.5068537367025703;10.898877579784578;3
9.0;0.44;0.49;2.4;0.078;26.0;121.0;0.9978;3.23;0.58;9.2;5
7.9;0.54;0.34;2.5;0.076;8.0;17.0;0.99235;3.2;0.72;13.1;8
7.648292042883233;1.5413663656934136;0.0013797726538066;2.189685222497433;0.1333436024674123;5.068988632690333;9.137977265380666;0.9950469927119918;3.4986202273461933;0.40620897694213;10.906898863269031;3
6.2;0.64;0.09;2.5;0.081;15.0;26.0;0.99538;3.57;0.63;12.0;5
9.6;0.77;0.12;2.9;0.082;30.0;74.0;0.99865;3.3;0.64;10.4;6
10.986596180132926;0.4789682810598167;0.5968724420310161;3.841916780576013;0.0776425648035447;5.477660300221544;17.43298090066463;0.9979642564803544;3.183436221015508;0.6691064120088617;12.146384720531705;8
